date,open,high,low,close,adjc,volume
2012-10-29,25960,25980,25580,25980,21262,11448050
2012-10-30,25980,26080,25840,25960,21246,6643850
2012-10-31,26120,26240,25980,26200,21442,10604850
2012-11-01,25900,26040,25800,25940,21229,10455600
2012-11-02,26380,26660,26260,26540,21720,18521400
2012-11-05,26560,26980,26400,26820,21949,13062050
2012-11-06,26980,26980,26640,26980,22080,8981800
2012-11-07,26860,27240,26700,27240,22293,9676400
2012-11-08,26960,27140,26820,27000,22097,15326600
2012-11-09,26700,27020,26520,26820,21949,14550300
2012-11-12,26620,26940,26620,26900,22015,6959250
2012-11-13,26940,26980,26520,26980,22080,7325850
2012-11-14,27140,27140,26920,27100,22179,10436000
2012-11-15,26700,26760,26520,26620,21786,9959100
2012-11-16,26440,26520,26020,26140,21393,12172550
2012-11-19,26300,26840,26260,26640,21802,10137500
2012-11-20,27060,27300,26920,27280,22326,13420300
2012-11-21,27520,27940,27440,27680,22653,17780400
2012-11-22,27880,28380,27820,28340,23193,14930950
2012-11-23,28440,28840,28340,28740,23521,12322050
2012-11-26,28840,28860,27980,28080,22981,13749850
2012-11-27,28100,28560,28080,28320,23177,11836200
2012-11-28,28000,28760,27920,28260,23128,14055800
2012-11-29,28040,28440,28040,28280,23144,13073300
2012-11-30,28460,28500,27980,28120,23013,16427600
2012-12-03,28400,28720,28160,28600,23406,10220850
2012-12-04,28640,28680,28400,28600,23406,9504900
2012-12-05,28600,29100,28540,29100,23815,12436400
2012-12-06,29360,29420,28680,29080,23799,14248700
2012-12-07,29000,29960,29000,29600,24225,15882450
2012-12-10,30120,30120,29700,29820,24405,13056100
2012-12-11,29960,29960,29380,29520,24159,12657350
2012-12-12,29460,29920,29460,29800,24388,15244450
2012-12-13,30000,30660,29860,30660,25092,30680500
2012-12-14,30320,30720,30160,30300,24798,13905250
2012-12-17,30020,30480,29940,30060,24601,15511100
2012-12-18,30000,30320,29900,30300,24798,13538450
2012-12-20,30300,30580,29900,30060,24601,20128500
2012-12-21,29860,29920,28800,28840,23603,27576200
2012-12-24,28960,29520,28840,29480,24126,14488550
2012-12-26,29600,30060,29400,29400,24061,14038700
2012-12-27,29400,30000,29400,29920,24612,9143900
2012-12-28,29760,30600,29740,30440,25040,10562750
2013-01-02,30660,31520,30540,31520,25928,11449650
2013-01-03,31640,31680,30860,30860,25385,14227400
